========================================================================================================================================================================================================
Motion Planning Output - Robot Motor States and Attached Magnet Position
========================================================================================================================================================================================================

Motor Position Ranges:
  - θ1 (ω1 Motor): -360° to +360° (Front section rotation)
  - θ2 (ω2 Motor): -360° to +360° (Rear section rotation)
  - θ3 (ω3 Motor): -90° to +90° (Inter-section rotation)
  - s  (v Motor):  0mm to 8mm (Linear displacement)

State Code Format: ω1ω2ω3vm1m2
  - ω1,ω2,ω3,v: 0=Stop, 1=Forward/CW, 2=Reverse/CCW
  - m1,m2: 0=OFF(detached), 1=ON(attached)

Attached Magnet Position:
  - Shows the 3D coordinate (X, Y, Z) of the magnet that is attached (ON) to the cylinder inner wall
  - Coordinate system: X and Y are radial coordinates, Z is axial coordinate (0-1000mm)
  - Cylinder inner wall radius: 900mm
  - When both magnets are ON, both positions are shown

========================================================================================================================================================================================================

Step	State	ω1	ω2	ω3	v	M1	M2	Dur(s)	Time(s)	θ1(°)	θ2(°)	θ3(°)	s(mm)	Attached Magnet Position (X,Y,Z)	Description
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0	------	-	-	-	-	1	1	0.000	0.000	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	Initial State (Both Attached)
1	000010	0	0	0	0	1	0	0.500	0.500	0.0	0.0	0.0	0.00	M1:(636.4,-636.4,40.0)	M1=ON, M2=OFF
2	001010	0	0	1	0	1	0	1.222	1.722	0.0	0.0	35.0	0.00	M1:(636.4,-636.4,40.0)	ω3=CW, M1=ON, M2=OFF
3	001110	0	0	1	1	1	0	12.800	14.522	0.0	0.0	90.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CW, v=Fwd, M1=ON, M2=OFF
4	002010	0	0	2	0	1	0	1.222	15.743	0.0	0.0	55.0	6.40	M1:(636.4,-636.4,40.0)	ω3=CCW, M1=ON, M2=OFF
5	000011	0	0	0	0	1	1	0.500	16.243	0.0	0.0	0.0	6.40	M1:(636.4,-636.4,40.0); M2:(636.4,-636.4,0.0)	M1=ON, M2=ON
6	000001	0	0	0	0	0	1	0.500	16.743	0.0	0.0	0.0	6.40	M2:(636.4,-636.4,0.0)	M1=OFF, M2=ON
7	001001	0	0	1	0	0	1	1.222	17.965	0.0	0.0	35.0	6.40	M2:(636.4,-636.4,0.0)	ω3=CW, M1=OFF, M2=ON
8	002201	0	0	2	2	0	1	12.800	30.765	0.0	0.0	-90.0	0.00	M2:(636.4,-636.4,0.0)	ω3=CCW, v=Rev, M1=OFF, M2=ON
